object,actor,metadata
5-2：问题求解与思维方式,201722111930013,1579.0500000000002
5-2：问题求解与思维方式,201822111220032,2270.1800000000003
5-2：问题求解与思维方式,201822111310036,1533.8500000000001
5-2：问题求解与思维方式,201822111310043,2080.38
5-2：问题求解与思维方式,201822111310055,809.79
5-2：问题求解与思维方式,201822111310071,762.82
5-2：问题求解与思维方式,201822111310075,748.3
5-2：问题求解与思维方式,201822111310087,608.17
5-2：问题求解与思维方式,201822111310103,813.9899999999999
5-2：问题求解与思维方式,201822111310124,769.2
5-2：问题求解与思维方式,201822111310127,751.79
5-2：问题求解与思维方式,201822111310130,1985.25
5-2：问题求解与思维方式,201822111310139,770.33
5-2：问题求解与思维方式,201822111310142,1300.24
5-2：问题求解与思维方式,201822111310144,934.8
5-2：问题求解与思维方式,201822111310147,851.28
5-2：问题求解与思维方式,201822111310156,825.79
5-2：问题求解与思维方式,201822111310166,1101.79
5-2：问题求解与思维方式,201822111310174,22.54
5-2：问题求解与思维方式,201822111310175,1841.92
5-2：问题求解与思维方式,201822111310194,1389.12
5-2：问题求解与思维方式,201822111310205,1157.28
5-2：问题求解与思维方式,201822111310206,882.48
5-2：问题求解与思维方式,201822111310208,784.56
5-2：问题求解与思维方式,201822111310212,768.61
5-2：问题求解与思维方式,201822111310237,1027.63
5-2：问题求解与思维方式,201822111310259,859.28
5-2：问题求解与思维方式,201822111310261,717.11
5-2：问题求解与思维方式,201822111310274,13.02
5-2：问题求解与思维方式,201822111310288,909.6
5-2：问题求解与思维方式,201822111310299,809.9699999999999
5-2：问题求解与思维方式,201822111310324,1805.65
5-2：问题求解与思维方式,201822111310326,809.99
5-2：问题求解与思维方式,201822111310332,788.35
5-2：问题求解与思维方式,201822111321005,742.78
5-2：问题求解与思维方式,201822111321019,1532.17
5-2：问题求解与思维方式,201822111321038,801.45
5-2：问题求解与思维方式,201822111511015,113.51
5-2：问题求解与思维方式,201822111511016,766.86
5-2：问题求解与思维方式,201931103031004,571.14
5-2：问题求解与思维方式,201931106020148,747.05
5-2：问题求解与思维方式,201931106020172,1073.78
5-2：问题求解与思维方式,201931106030001,1488.2
5-2：问题求解与思维方式,201931107010103,856.3
5-2：问题求解与思维方式,201931107010206,750.24
5-2：问题求解与思维方式,201931107010235,895.66
5-2：问题求解与思维方式,201931108021022,813.12
5-2：问题求解与思维方式,201931108024014,813.91
5-2：问题求解与思维方式,201931109010006,1765.09
5-3：计算思维与数据思维,20120010,18.3
5-3：计算思维与数据思维,201722111930013,1232.86
5-3：计算思维与数据思维,201822111220032,3683.7200000000003
5-3：计算思维与数据思维,201822111310033,295.39
5-3：计算思维与数据思维,201822111310036,1488.52
5-3：计算思维与数据思维,201822111310043,1266.11
5-3：计算思维与数据思维,201822111310055,1195.8
5-3：计算思维与数据思维,201822111310071,235.54000000000002
5-3：计算思维与数据思维,201822111310075,632.46
5-3：计算思维与数据思维,201822111310087,1586.43
5-3：计算思维与数据思维,201822111310103,1560.4199999999998
5-3：计算思维与数据思维,201822111310124,1189.33
5-3：计算思维与数据思维,201822111310127,1176.03
5-3：计算思维与数据思维,201822111310130,368.54
5-3：计算思维与数据思维,201822111310139,1468.54
5-3：计算思维与数据思维,201822111310142,1191.17
5-3：计算思维与数据思维,201822111310144,1179.87
5-3：计算思维与数据思维,201822111310147,1353.28
5-3：计算思维与数据思维,201822111310156,2156.82
5-3：计算思维与数据思维,201822111310166,1168.3
5-3：计算思维与数据思维,201822111310175,1397.04
5-3：计算思维与数据思维,201822111310194,8056.57
5-3：计算思维与数据思维,201822111310200,16492.82
5-3：计算思维与数据思维,201822111310205,1790.74
5-3：计算思维与数据思维,201822111310206,2451.47
5-3：计算思维与数据思维,201822111310208,1167.91
5-3：计算思维与数据思维,201822111310212,1819.33
5-3：计算思维与数据思维,201822111310259,1387.76
5-3：计算思维与数据思维,201822111310274,12.14
5-3：计算思维与数据思维,201822111310288,1456.93
5-3：计算思维与数据思维,201822111310299,1301.6599999999999
5-3：计算思维与数据思维,201822111310324,1006.28
5-3：计算思维与数据思维,201822111310326,1071.11
5-3：计算思维与数据思维,201822111310332,1264.21
5-3：计算思维与数据思维,201822111321019,1163.64
5-3：计算思维与数据思维,201822111321038,1086.12
5-3：计算思维与数据思维,201822111511015,343.68
5-3：计算思维与数据思维,201822111511016,1185.08
5-3：计算思维与数据思维,201931103031004,514.36
5-3：计算思维与数据思维,201931106020148,1199.09
5-3：计算思维与数据思维,201931106030001,1177.98
5-3：计算思维与数据思维,201931107010103,2677.58
5-3：计算思维与数据思维,201931107010206,152.73
5-3：计算思维与数据思维,201931108021022,1181.09
5-3：计算思维与数据思维,201931108024014,1282.63
5-4：像数据科学家一样思考,20120010,18.48
5-4：像数据科学家一样思考,201722111930013,935.97
5-4：像数据科学家一样思考,201822111220032,1887.69
5-4：像数据科学家一样思考,201822111310033,402.14
5-4：像数据科学家一样思考,201822111310036,570.85
5-4：像数据科学家一样思考,201822111310043,621.27
5-4：像数据科学家一样思考,201822111310055,659.71
5-4：像数据科学家一样思考,201822111310071,702.63
5-4：像数据科学家一样思考,201822111310087,1022.16
5-4：像数据科学家一样思考,201822111310103,603.92
5-4：像数据科学家一样思考,201822111310124,626.12
5-4：像数据科学家一样思考,201822111310127,610.87
5-4：像数据科学家一样思考,201822111310139,2122.5
5-4：像数据科学家一样思考,201822111310144,2766.71
5-4：像数据科学家一样思考,201822111310147,589.71
5-4：像数据科学家一样思考,201822111310156,1065.69
5-4：像数据科学家一样思考,201822111310166,579.01
5-4：像数据科学家一样思考,201822111310175,642.77
5-4：像数据科学家一样思考,201822111310194,686.64
5-4：像数据科学家一样思考,201822111310200,0.64
5-4：像数据科学家一样思考,201822111310205,291.61
5-4：像数据科学家一样思考,201822111310206,3754.4
5-4：像数据科学家一样思考,201822111310208,744.27
5-4：像数据科学家一样思考,201822111310237,13815.55
5-4：像数据科学家一样思考,201822111310259,580.69
5-4：像数据科学家一样思考,201822111310274,382.45000000000005
5-4：像数据科学家一样思考,201822111310288,1173.83
5-4：像数据科学家一样思考,201822111310299,626.99
5-4：像数据科学家一样思考,201822111310324,465.55
5-4：像数据科学家一样思考,201822111310326,1059.44
5-4：像数据科学家一样思考,201822111310332,926.65
5-4：像数据科学家一样思考,201822111321019,1192.77
5-4：像数据科学家一样思考,201822111321038,1627.73
5-4：像数据科学家一样思考,201822111511016,500.64
5-4：像数据科学家一样思考,201931103031004,833.86
5-4：像数据科学家一样思考,201931106020148,653.4599999999999
5-4：像数据科学家一样思考,201931106030001,583.48
5-4：像数据科学家一样思考,201931107010103,832.1
5-4：像数据科学家一样思考,201931108021022,675.53
5-4：像数据科学家一样思考,201931108024014,918.6
5-5：总结,201822111310033,38.95
5-5：总结,201822111310103,668.13
5-5：总结,201822111310156,101.9
5-5：总结,201822111310175,0.02
5-5：总结,201822111310194,1436.18
5-5：总结,201822111310200,687.42
5-5：总结,201822111310208,88.68
5-5：总结,201822111310274,0.02
5-5：总结,201822111310326,95.16
5-5：总结,201931106020148,8.09
